algorithm,seed,cost_function,value,name,level
IQL,3,discomfort_cold_delta_average,0.0003257698482937283,Building_1,building
IQL,3,discomfort_hot_delta_minimum,0.0,Building_1,building
IQL,3,discomfort_hot_delta_maximum,12.215116500854492,Building_1,building
IQL,3,discomfort_hot_delta_average,6.377744094530741,Building_1,building
IQL,3,one_minus_thermal_resilience_proportion,1.0,Building_1,building
IQL,3,power_outage_normalized_unserved_energy_total,0.5299177037715619,Building_1,building
IQL,3,annual_normalized_unserved_energy_total,0.010897009079723697,Building_1,building
IQL,3,electricity_consumption_total,0.655830778359192,Building_2,building
IQL,3,zero_net_energy,0.6559802014708903,Building_2,building
IQL,3,carbon_emissions_total,0.6501069490259986,Building_2,building
IQL,3,cost_total,0.6248099946831829,Building_2,building
IQL,3,discomfort_proportion,0.458955223880597,Building_2,building
IQL,3,discomfort_cold_proportion,0.0,Building_2,building
IQL,3,discomfort_hot_proportion,0.458955223880597,Building_2,building
IQL,3,discomfort_cold_delta_minimum,0.0,Building_2,building
IQL,3,discomfort_cold_delta_maximum,1.8563785552978516,Building_2,building
IQL,3,discomfort_cold_delta_average,0.030059112442864314,Building_2,building
IQL,3,discomfort_hot_delta_minimum,0.0,Building_2,building
IQL,3,discomfort_hot_delta_maximum,8.450773239135742,Building_2,building
IQL,3,discomfort_hot_delta_average,1.660735641585456,Building_2,building
IQL,3,one_minus_thermal_resilience_proportion,0.8571428571428571,Building_2,building
IQL,3,power_outage_normalized_unserved_energy_total,0.5558187787164732,Building_2,building
IQL,3,annual_normalized_unserved_energy_total,0.01242816419069971,Building_2,building
IQL,3,electricity_consumption_total,0.6705092009798351,Building_3,building
IQL,3,zero_net_energy,0.6534550922646182,Building_3,building
IQL,3,carbon_emissions_total,0.6615813539071566,Building_3,building
IQL,3,cost_total,0.6301681793885868,Building_3,building
IQL,3,discomfort_proportion,0.56738768718802,Building_3,building
IQL,3,discomfort_cold_proportion,0.0,Building_3,building
IQL,3,discomfort_hot_proportion,0.56738768718802,Building_3,building
IQL,3,discomfort_cold_delta_minimum,0.0,Building_3,building
IQL,3,discomfort_cold_delta_maximum,0.8743476867675781,Building_3,building
IQL,3,discomfort_cold_delta_average,0.02698477374182807,Building_3,building
IQL,3,discomfort_hot_delta_minimum,0.0,Building_3,building
IQL,3,discomfort_hot_delta_maximum,7.287235260009766,Building_3,building
IQL,3,discomfort_hot_delta_average,1.9633145226372613,Building_3,building
IQL,3,one_minus_thermal_resilience_proportion,0.9333333333333333,Building_3,building
